Abomasnow,Grass,90,92,75
Abra,Psychic,25,20,15
Absol,Dark,65,130,60
Accelgor,Bug,80,70,40
"Aegislash Blade Forme",Steel,60,150,50
"Aegislash Shield Forme",Steel,60,50,150
Aerodactyl,Rock,80,105,65
Aggron,Steel,70,110,180
Aipom,Normal,55,70,55
Alakazam,Psychic,55,50,45
Alcremie,Fairy,65,60,75
"Alolan Diglett",Ground,10,55,30
"Alolan Dugtrio",Ground,35,100,60
"Alolan Exeggutor",Grass,95,105,85
"Alolan Geodude",Rock,40,80,100
"Alolan Golem",Rock,80,120,130
"Alolan Graveler",Rock,55,95,115
"Alolan Grimer",Poison,80,80,50
"Alolan Marowak",Fire,60,80,110
"Alolan Meowth",Dark,40,35,35
"Alolan Muk",Poison,105,105,75
"Alolan Ninetales",Ice,73,67,75
"Alolan Persian",Dark,65,60,60
"Alolan Raichu",Electric,60,85,50
"Alolan Raticate",Dark,75,71,70
"Alolan Rattata",Dark,30,56,35
"Alolan Sandshrew",Ice,50,75,90
"Alolan Sandslash",Ice,75,100,120
"Alolan Vulpix",Ice,38,41,40
Alomomola,Water,165,75,80
Altaria,Dragon,75,70,90
Amaura,Rock,77,59,50
Ambipom,Normal,75,100,66
Amoonguss,Grass,114,85,70
Ampharos,Electric,90,75,85
Anorith,Rock,45,95,50
Appletun,Grass,110,85,80
Applin,Grass,40,40,80
Araquanid,Water,68,70,92
Arbok,Poison,60,85,69
Arcanine,Fire,90,110,80
Arceus,Normal,120,120,120
Archen,Rock,55,112,45
Archeops,Rock,75,140,65
Arctovish,Water,90,90,100
Arctozolt,Electric,90,100,90
Ariados,Bug,70,90,70
Armaldo,Rock,75,125,100
Aromatisse,Fairy,101,72,72
Aron,Steel,50,70,100
Arrokuda,Water,41,63,40
Articuno,Ice,90,85,100
Ash-Greninja,Water,72,145,67
Audino,Normal,103,60,86
Aurorus,Rock,123,77,72
Avalugg,Ice,95,117,184
Axew,Dragon,46,87,60
Azelf,Psychic,75,125,70
Azumarill,Water,100,50,80
Azurill,Normal,50,20,40
Bagon,Dragon,45,75,60
Baltoy,Ground,40,40,55
Banette,Ghost,64,115,65
Barbaracle,Rock,72,105,115
Barboach,Water,50,48,43
Barraskewda,Water,61,123,60
Basculin,Water,70,92,65
Bastiodon,Rock,60,52,168
Bayleef,Grass,60,62,80
Beartic,Ice,95,110,80
Beautifly,Bug,60,70,50
Beedrill,Bug,65,90,40
Beheeyem,Psychic,75,75,75
Beldum,Steel,40,55,80
Bellossom,Grass,75,80,95
Bellsprout,Grass,50,75,35
Bergmite,Ice,55,69,85
Bewear,Normal,120,125,80
Bibarel,Normal,79,85,60
Bidoof,Normal,59,45,40
Binacle,Rock,42,52,67
Bisharp,Dark,65,125,100
Blacephalon,Fire,53,127,53
"Black Kyurem",Dragon,125,170,100
Blastoise,Water,79,83,100
Blaziken,Fire,80,120,70
Blipbug,Bug,25,20,20
Blissey,Normal,255,10,10
Blitzle,Electric,45,60,32
Boldore,Rock,70,105,105
Boltund,Electric,69,90,60
Bonsly,Rock,50,80,95
Bouffalant,Normal,95,110,95
Bounsweet,Grass,42,30,38
Braixen,Fire,59,59,58
Braviary,Normal,100,123,75
Breloom,Grass,60,130,80
Brionne,Water,60,69,69
Bronzong,Steel,67,89,116
Bronzor,Steel,57,24,86
Bruxish,Water,68,105,70
Budew,Grass,40,30,35
Buizel,Water,55,65,35
Bulbasaur,Grass,45,49,49
Buneary,Normal,55,66,44
Bunnelby,Normal,38,36,38
Burmy,Bug,40,29,45
Butterfree,Bug,60,45,50
Buzzwole,Bug,107,139,139
Cacnea,Grass,50,85,40
Cacturne,Grass,70,115,60
Calyrex,Psychic,100,80,80
Camerupt,Fire,70,100,70
Carbink,Rock,50,50,150
